title,code,location,price,characteristics,img
Arriendo de Apartamento en Medellín,AA-74644," La calera, Medellín",$11.500.000,250 Metros|5 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-69963," El tesoro, Medellín",$3.500.000,77 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74619," Los balsos, Medellín",$4.500.000,105 Metros|2 Baños|4 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74619-1.jpg
Arriendo de Apartamento en Medellín,AA-74622," La florida, Medellín",$5.500.000,243.3 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74622-1.jpg
Arriendo de Apartamento en Medellín,AA-74593," Los conquistadores, Medellín",$2.800.000,85 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74593-1.jpg
Arriendo de Apartamento en Medellín,AA-67359," Buenos aires, Medellín",$2.000.000,130 Metros|- Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74584," La visitacion los gonzalez, Medellín",$9.500.000,130 Metros|4 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74578," El campestre la frontera, Medellín",$6.000.000,184 Metros|4 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74574," Florida nueva, Medellín",$2.400.000,48 Metros|1 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74575," Florida nueva, Medellín",$2.900.000,60 Metros|1 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74573," Florida nueva, Medellín",$2.400.000,48 Metros|1 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74573," Florida nueva, Medellín",$2.400.000,48 Metros|1 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74573-1.jpg
Arriendo de Apartamento en Medellín,AA-74575," Florida nueva, Medellín",$2.900.000,60 Metros|1 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74575-1.jpg
